List_1,seahorse,boat,spool,waterfall,hand,skunk,jacket,job,guitar,swan,necklace,owl,barn,fox,lock,clown,oven,rooster,flower,sandwich,donkey,sweater,tiger,lemon,anchor,pig,door,lens,saw,chocolate,watch,snail,couch,asparagus,mouse,artichoke,ring,phone,cap,cow,food,rabbit,carrot,leopard,box,belt,motorcycle,chapel,balloon,razor
List_2,sheep,cake,university,arm,eggs,mitten,poetry,pill,hair,beard,make-up,celery,school,key,hanger,pocketbook,table,pen,deer,peacock,ladder,helicopter,baby,finger,crayon,cat,wagon,shampoo,orange,sun,stadium,paperclip,doll,leaf,ruler,volleyball,fire,thimble,tie,camel,store,wood,cup,exam,milk,umbrella,horse,toaster,thumb,tablespoon
List_3,printer,number,gum,snake,girlfriend,gorilla,dresser,ball,dog,hose,game,tomato,nail,cloud,hammer,kettle,museum,tree,ground,alarm,church,trumpet,paper,ostrich,chair,piano,monkey,professor,lake,boot,nurse,refrigerator,lettuce,glasses,giraffe,music,pizza,towel,watermelon,radio,pool,chicken,mushroom,toothbrush,shoe,bat,apple,ear,toe,hat
List_4,nose,iron,accordion,rhinoceros,onion,snowflake,doorknob,bench,string,foot,cane,basket,whistle,pipe,lion,lemonade,velvet,bell,pot,seed,penguin,pencil,house,frog,banana,lunch,library,lawn,gym,mail,top,desk,ice,plane,earring,harp,flag,sister,airplane,pumpkin,clock,vase,kangaroo,soap,alligator,net,light,yarn,nut,broom
List_5,bear,bow,cell,elevator,raccoon,duck,fist,meal,party,shirt,fly,paintbrush,scale,coat,horn,fence,purse,bread,seal,soldier,eye,fan,truck,mouth,blouse,temple,needle,car,sentence,grapes,weed,lamp,breakfast,drum,gift,ant,dress,lobster,pineapple,envelope,money,comb,trousers,pants,screwdriver,windmill,zipper,daisy,screw,wheel
List_6,barrel,baseball,lips,mall,glass,heart,bus,vest,plug,star,match,machine,stove,bowl,beach,peach,rock,zebra,television,dollar,theater,sea,telephone,window,jeans,pitcher,magazine,sailboat,shark,song,boyfriend,goat,swing,grasshopper,kite,moon,pliers,potato,leg,pear,shoulders,saltshaker,fish,turtle,spoon,blanket,snowman,button,movie,elephant
List_7,teacher,student,candle,eagle,sponge,laptop,stool,chain,sled,corn,wrench,jet,clothespin,spider,bed,football,beetle,ocean,suitcase,strawberry,bird,well,toy,train,fork,cherry,squirrel,bike,peanut,sock,brush,glove,book,passport,pepper,brick,baton,flute,scissors,bicycle,suit,mountain,butterfly,skirt,bottle,bee,violin,oar,crown,letter
